step,sim_time,env_id,episode_id,episode_step,shoulder_pan_joint_pos,shoulder_lift_joint_pos,elbow_joint_pos,wrist_1_joint_pos,wrist_2_joint_pos,wrist_3_joint_pos,robotiq_hande_left_finger_joint_pos,robotiq_hande_right_finger_joint_pos,shoulder_pan_joint_pos_target,shoulder_lift_joint_pos_target,elbow_joint_pos_target,wrist_1_joint_pos_target,wrist_2_joint_pos_target,wrist_3_joint_pos_target,robotiq_hande_left_finger_joint_pos_target,robotiq_hande_right_finger_joint_pos_target,shoulder_pan_joint_vel,shoulder_lift_joint_vel,elbow_joint_vel,wrist_1_joint_vel,wrist_2_joint_vel,wrist_3_joint_vel,robotiq_hande_left_finger_joint_vel,robotiq_hande_right_finger_joint_vel,shoulder_pan_joint_vel_target,shoulder_lift_joint_vel_target,elbow_joint_vel_target,wrist_1_joint_vel_target,wrist_2_joint_vel_target,wrist_3_joint_vel_target,robotiq_hande_left_finger_joint_vel_target,robotiq_hande_right_finger_joint_vel_target,shoulder_pan_joint_pos_limit_lower,shoulder_pan_joint_pos_limit_upper,shoulder_lift_joint_pos_limit_lower,shoulder_lift_joint_pos_limit_upper,elbow_joint_pos_limit_lower,elbow_joint_pos_limit_upper,wrist_1_joint_pos_limit_lower,wrist_1_joint_pos_limit_upper,wrist_2_joint_pos_limit_lower,wrist_2_joint_pos_limit_upper,wrist_3_joint_pos_limit_lower,wrist_3_joint_pos_limit_upper,robotiq_hande_left_finger_joint_pos_limit_lower,robotiq_hande_left_finger_joint_pos_limit_upper,robotiq_hande_right_finger_joint_pos_limit_lower,robotiq_hande_right_finger_joint_pos_limit_upper,shoulder_pan_joint_soft_pos_limit_lower,shoulder_pan_joint_soft_pos_limit_upper,shoulder_lift_joint_soft_pos_limit_lower,shoulder_lift_joint_soft_pos_limit_upper,elbow_joint_soft_pos_limit_lower,elbow_joint_soft_pos_limit_upper,wrist_1_joint_soft_pos_limit_lower,wrist_1_joint_soft_pos_limit_upper,wrist_2_joint_soft_pos_limit_lower,wrist_2_joint_soft_pos_limit_upper,wrist_3_joint_soft_pos_limit_lower,wrist_3_joint_soft_pos_limit_upper,robotiq_hande_left_finger_joint_soft_pos_limit_lower,robotiq_hande_left_finger_joint_soft_pos_limit_upper,robotiq_hande_right_finger_joint_soft_pos_limit_lower,robotiq_hande_right_finger_joint_soft_pos_limit_upper,shoulder_pan_joint_vel_limit,shoulder_lift_joint_vel_limit,elbow_joint_vel_limit,wrist_1_joint_vel_limit,wrist_2_joint_vel_limit,wrist_3_joint_vel_limit,robotiq_hande_left_finger_joint_vel_limit,robotiq_hande_right_finger_joint_vel_limit,shoulder_pan_joint_soft_vel_limit,shoulder_lift_joint_soft_vel_limit,elbow_joint_soft_vel_limit,wrist_1_joint_soft_vel_limit,wrist_2_joint_soft_vel_limit,wrist_3_joint_soft_vel_limit,robotiq_hande_left_finger_joint_soft_vel_limit,robotiq_hande_right_finger_joint_soft_vel_limit,ee_frame_pos_x,ee_frame_pos_y,ee_frame_pos_z,ee_frame_rot_w,ee_frame_rot_x,ee_frame_rot_y,ee_frame_rot_z,object_pos_x,object_pos_y,object_pos_z,object_rot_w,object_rot_x,object_rot_y,object_rot_z,object_width,target_pos_x,target_pos_y,target_pos_z,target_rot_w,target_rot_x,target_rot_y,target_rot_z
1,0.008,0,0,1,-0.0012307422002777457,-1.5671162605285645,1.5656191110610962,-1.5464638471603394,-1.5862715244293213,-0.025125285610556602,0.02378251776099205,0.02383909933269024,0.0,-1.5700000524520874,1.5700000524520874,-1.5700000524520874,-1.5700000524520874,0.0,0.0,0.0,-0.21201598644256592,0.407209187746048,-0.6112421154975891,3.141591787338257,-1.9008097648620605,-3.141592025756836,-0.15000031888484955,-0.14999990165233612,-2.094399929046631,2.094399929046631,3.141590118408203,3.141590118408203,-3.141590118408203,-3.141590118408203,0.0,0.0,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-3.1415927410125732,3.1415927410125732,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,0.0,0.02500000037252903,0.0,0.02500000037252903,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-2.8274333477020264,2.8274333477020264,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,0.0012500006705522537,0.023749999701976776,0.0012500006705522537,0.023749999701976776,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.15000000596046448,0.15000000596046448,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.15000000596046448,0.15000000596046448,0.6875974535942078,0.16907860338687897,0.5185686945915222,-0.01350855827331543,-0.7154978513717651,0.6984786987304688,0.0027805715799331665,0.606786847114563,-0.34245234727859497,0.015688085928559303,0.1506323218345642,-1.1041760444641113e-05,-1.3113021850585938e-06,0.9885898232460022,0.031376343220472336,0.5276342034339905,0.16527187824249268,0.30110475420951843,-1.0043902598511067e-08,0.22977770864963531,-0.9732431173324585,4.2541806521967374e-08
2,0.016,0,0,2,-0.004812369588762522,-1.5628360509872437,1.561780571937561,-1.5216338634490967,-1.6108108758926392,-0.05025813356041908,0.02255646511912346,0.022670766338706017,0.0,-1.5700000524520874,1.5700000524520874,-1.5700000524520874,-1.5700000524520874,0.0,0.0,0.0,-0.49145951867103577,0.5821529626846313,-0.5201677680015564,3.1415929794311523,-3.1415910720825195,-3.1415977478027344,-0.15120410919189453,-0.14415986835956573,-2.094399929046631,2.094399929046631,3.141590118408203,3.141590118408203,-3.141590118408203,-3.141590118408203,0.0,0.0,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-3.1415927410125732,3.1415927410125732,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,0.0,0.02500000037252903,0.0,0.02500000037252903,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-2.8274333477020264,2.8274333477020264,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,0.0012500006705522537,0.023749999701976776,0.0012500006705522537,0.023749999701976776,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.15000000596046448,0.15000000596046448,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.15000000596046448,0.15000000596046448,0.6837956309318542,0.1599385291337967,0.5157041549682617,-0.031054943799972534,-0.7229691743850708,0.6901719570159912,0.003717750310897827,0.6067877411842346,-0.34244439005851746,0.015688123181462288,0.15069127082824707,-8.940696716308594e-08,5.364418029785156e-07,0.9885808229446411,0.031376343220472336,0.5276342034339905,0.16527187824249268,0.30110475420951843,-1.0043902598511067e-08,0.22977770864963531,-0.9732431173324585,4.2541806521967374e-08
3,0.024,0,0,3,-0.011540601961314678,-1.5574357509613037,1.558950662612915,-1.4968081712722778,-1.6355316638946533,-0.07539086788892746,0.021335836499929428,0.021509485319256783,0.0,-1.5700000524520874,1.5700000524520874,-1.5700000524520874,-1.5700000524520874,0.0,0.0,0.0,-0.904918372631073,0.7233421206474304,-0.39402273297309875,3.141592025756836,-3.1415936946868896,-3.1415867805480957,-0.1507347971200943,-0.1434110552072525,-2.094399929046631,2.094399929046631,3.141590118408203,3.141590118408203,-3.141590118408203,-3.141590118408203,0.0,0.0,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-3.1415927410125732,3.1415927410125732,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,0.0,0.02500000037252903,0.0,0.02500000037252903,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-2.8274333477020264,2.8274333477020264,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,0.0012500006705522537,0.023749999701976776,0.0012500006705522537,0.023749999701976776,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.15000000596046448,0.15000000596046448,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.15000000596046448,0.15000000596046448,0.6804512143135071,0.14864355325698853,0.5117372274398804,-0.04932883381843567,-0.7292513847351074,0.6824393272399902,0.005956187844276428,0.6067877411842346,-0.34244441986083984,0.015688084065914154,0.1506912112236023,2.5331974029541016e-07,3.5762786865234375e-07,0.9885808825492859,0.031376343220472336,0.5276342034339905,0.16527187824249268,0.30110475420951843,-1.0043902598511067e-08,0.22977770864963531,-0.9732431173324585,4.2541806521967374e-08
4,0.032,0,0,4,-0.021284786984324455,-1.550835132598877,1.5570653676986694,-1.471990942955017,-1.6602650880813599,-0.10052361339330673,0.02011222392320633,0.020344598218798637,0.0,-1.5700000524520874,1.5700000524520874,-1.5700000524520874,-1.5700000524520874,0.0,0.0,0.0,-1.315546989440918,0.8725623488426208,-0.2741281986236572,3.141591787338257,-3.141594648361206,-3.1416006088256836,-0.15126748383045197,-0.14400933682918549,-2.094399929046631,2.094399929046631,3.141590118408203,3.141590118408203,-3.141590118408203,-3.141590118408203,0.0,0.0,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-3.1415927410125732,3.1415927410125732,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,0.0,0.02500000037252903,0.0,0.02500000037252903,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-2.8274333477020264,2.8274333477020264,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,0.0012500006705522537,0.023749999701976776,0.0012500006705522537,0.023749999701976776,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.15000000596046448,0.15000000596046448,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.15000000596046448,0.15000000596046448,0.6774793863296509,0.1353650838136673,0.5066925287246704,-0.06819719076156616,-0.734406054019928,0.6752060651779175,0.009672880172729492,0.6067877411842346,-0.34244439005851746,0.015688087791204453,0.15069130063056946,8.791685104370117e-07,-7.152557373046875e-07,0.9885809421539307,0.031376343220472336,0.5276342034339905,0.16527187824249268,0.30110475420951843,-1.0043902598511067e-08,0.22977770864963531,-0.9732431173324585,4.2541806521967374e-08
5,0.04,0,0,5,-0.03361443057656288,-1.5429130792617798,1.5559638738632202,-1.4471828937530518,-1.6850104331970215,-0.12565642595291138,0.018886661157011986,0.019175609573721886,0.0,-1.5700000524520874,1.5700000524520874,-1.5700000524520874,-1.5700000524520874,0.0,0.0,0.0,-1.7133221626281738,1.0300345420837402,-0.16619867086410522,3.1415998935699463,-3.135336399078369,-3.141580104827881,-0.15167014300823212,-0.14467133581638336,-2.094399929046631,2.094399929046631,3.141590118408203,3.141590118408203,-3.141590118408203,-3.141590118408203,0.0,0.0,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-3.1415927410125732,3.1415927410125732,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,0.0,0.02500000037252903,0.0,0.02500000037252903,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-2.8274333477020264,2.8274333477020264,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,0.0012500006705522537,0.023749999701976776,0.0012500006705522537,0.023749999701976776,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.15000000596046448,0.15000000596046448,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.15000000596046448,0.15000000596046448,0.6747862696647644,0.12042157351970673,0.5006328225135803,-0.08755457401275635,-0.7385884523391724,0.668279767036438,0.014949813485145569,0.6067877411842346,-0.34244439005851746,0.015688089653849602,0.15069127082824707,1.9371509552001953e-07,-5.364418029785156e-07,0.9885808229446411,0.031376343220472336,0.5276342034339905,0.16527187824249268,0.30110475420951843,-1.0043902598511067e-08,0.22977770864963531,-0.9732431173324585,4.2541806521967374e-08
6,0.048,0,0,6,-0.04795490950345993,-1.533512830734253,1.5554481744766235,-1.4223897457122803,-1.7099751234054565,-0.15078911185264587,0.017660269513726234,0.018002817407250404,0.0,-1.5700000524520874,1.5700000524520874,-1.5700000524520874,-1.5700000524520874,0.0,0.0,0.0,-1.8864351511001587,1.2488514184951782,-0.12602494657039642,3.1416008472442627,-3.1181671619415283,-3.1415998935699463,-0.1519736498594284,-0.145283505320549,-2.094399929046631,2.094399929046631,3.141590118408203,3.141590118408203,-3.141590118408203,-3.141590118408203,0.0,0.0,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-3.1415927410125732,3.1415927410125732,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,0.0,0.02500000037252903,0.0,0.02500000037252903,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-2.8274333477020264,2.8274333477020264,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,0.0012500006705522537,0.023749999701976776,0.0012500006705522537,0.023749999701976776,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.15000000596046448,0.15000000596046448,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.15000000596046448,0.15000000596046448,0.6722925305366516,0.10416221618652344,0.49362531304359436,-0.1073647141456604,-0.7419936656951904,0.6613954901695251,0.021776437759399414,0.6067877411842346,-0.34244439005851746,0.015688050538301468,0.15069124102592468,2.086162567138672e-07,4.76837158203125e-07,0.9885807037353516,0.031376343220472336,0.5276342034339905,0.16527187824249268,0.30110475420951843,-1.0043902598511067e-08,0.22977770864963531,-0.9732431173324585,4.2541806521967374e-08
7,0.056,0,0,7,-0.06292259693145752,-1.522392749786377,1.5552078485488892,-1.397616982460022,-1.7350664138793945,-0.1759214699268341,0.016431579366326332,0.0168306864798069,0.0,-1.5700000524520874,1.5700000524520874,-1.5700000524520874,-1.5700000524520874,0.0,0.0,0.0,-1.8957270383834839,1.5092647075653076,-0.13442173600196838,3.1416006088256836,-3.1291768550872803,-3.14159893989563,-0.1524447500705719,-0.1453419178724289,-2.0072834491729736,2.094399929046631,3.141590118408203,3.141590118408203,-3.141590118408203,-3.141590118408203,0.0,0.0,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-3.1415927410125732,3.1415927410125732,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,0.0,0.02500000037252903,0.0,0.02500000037252903,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-2.8274333477020264,2.8274333477020264,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,0.0012500006705522537,0.023749999701976776,0.0012500006705522537,0.023749999701976776,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.15000000596046448,0.15000000596046448,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.15000000596046448,0.15000000596046448,0.66993647813797,0.08754461258649826,0.48573699593544006,-0.12747728824615479,-0.7450725436210632,0.6539931893348694,0.030153140425682068,0.6067877411842346,-0.34244439005851746,0.015688056126236916,0.15069127082824707,1.043081283569336e-06,-5.960464477539062e-07,0.9885808229446411,0.031376343220472336,0.5276342034339905,0.16527187824249268,0.30110475420951843,-1.0043902598511067e-08,0.22977770864963531,-0.9732431173324585,4.2541806521967374e-08
8,0.064,0,0,8,-0.0769873559474945,-1.5096416473388672,1.5554777383804321,-1.3749265670776367,-1.7601993083953857,-0.20105315744876862,0.01560325175523758,0.015933524817228317,0.0,-1.5700000524520874,1.5700000524520874,-1.5700000524520874,-1.5700000524520874,0.0,0.010843075811862946,0.010843075811862946,-1.6786069869995117,1.7710845470428467,-0.12409257888793945,2.871671676635742,-3.1416008472442627,-3.1415698528289795,-0.0974687933921814,-0.09876085072755814,-1.6430280208587646,2.094399929046631,3.141590118408203,2.844562530517578,-3.141590118408203,-3.141590118408203,0.0,0.0,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-3.1415927410125732,3.1415927410125732,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,0.0,0.02500000037252903,0.0,0.02500000037252903,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-2.8274333477020264,2.8274333477020264,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,0.0012500006705522537,0.023749999701976776,0.0012500006705522537,0.023749999701976776,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.15000000596046448,0.15000000596046448,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.15000000596046448,0.15000000596046448,0.6680569648742676,0.07157322764396667,0.4770071506500244,-0.1472211480140686,-0.74832683801651,0.6455932855606079,0.03926987946033478,0.6067877411842346,-0.34244439005851746,0.015688059851527214,0.15069079399108887,8.940696716308594e-08,-2.384185791015625e-07,0.9885809421539307,0.031376343220472336,0.5276342034339905,0.16527187824249268,0.30110475420951843,-1.0043902598511067e-08,0.22977770864963531,-0.9732431173324585,4.2541806521967374e-08
9,0.07200000000000001,0,0,9,-0.08978280425071716,-1.4958064556121826,1.5578980445861816,-1.3617401123046875,-1.7853314876556396,-0.2261851578950882,0.01608501560986042,0.01639409549534321,0.0,-1.5700000524520874,1.5700000524520874,-1.5700000524520874,-1.5700000524520874,0.0,0.01924934796988964,0.01924934796988964,-1.5328401327133179,1.8585609197616577,0.19133155047893524,1.662876009941101,-3.1416006088256836,-3.141573429107666,0.06108521670103073,0.06280747056007385,-1.488973617553711,2.094399929046631,3.141590118408203,1.6428407430648804,-3.141590118408203,-3.141590118408203,0.0,0.0,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-3.1415927410125732,3.1415927410125732,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,0.0,0.02500000037252903,0.0,0.02500000037252903,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-2.8274333477020264,2.8274333477020264,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,0.0012500006705522537,0.023749999701976776,0.0012500006705522537,0.023749999701976776,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.15000000596046448,0.15000000596046448,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.15000000596046448,0.15000000596046448,0.6681092381477356,0.056342557072639465,0.46706873178482056,-0.1647661328315735,-0.7519546747207642,0.6365944147109985,0.04651476442813873,0.6067877411842346,-0.34244441986083984,0.015688061714172363,0.15069085359573364,-3.2782554626464844e-07,-1.7881393432617188e-07,0.9885808825492859,0.031376343220472336,0.5276342034339905,0.16527187824249268,0.30110475420951843,-1.0043902598511067e-08,0.22977770864963531,-0.9732431173324585,4.2541806521967374e-08
10,0.08,0,0,10,-0.10092324018478394,-1.4812798500061035,1.5624732971191406,-1.356309413909912,-1.8104662895202637,-0.25131717324256897,0.015639787539839745,0.015870925039052963,0.0,-1.5700000524520874,1.5700000524520874,-1.5700000524520874,-1.5700000524520874,0.0,0.012619118206202984,0.012619118206202984,-1.2806214094161987,1.9257574081420898,0.4761221706867218,0.7003804445266724,-3.141601085662842,-3.1415693759918213,-0.060365281999111176,-0.06321419775485992,-1.1346584558486938,2.094399929046631,3.141590118408203,0.6862719655036926,-3.141590118408203,-3.141590118408203,0.0,0.0,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-3.1415927410125732,3.1415927410125732,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,0.0,0.02500000037252903,0.0,0.02500000037252903,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-2.8274333477020264,2.8274333477020264,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,0.0012500006705522537,0.023749999701976776,0.0012500006705522537,0.023749999701976776,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.15000000596046448,0.15000000596046448,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.15000000596046448,0.15000000596046448,0.6694473028182983,0.042099177837371826,0.4559338390827179,-0.18066027760505676,-0.7560627460479736,0.6268967390060425,0.05226239562034607,0.6067877411842346,-0.34244439005851746,0.015688065439462662,0.15069109201431274,1.0281801223754883e-06,-1.3709068298339844e-06,0.9885808825492859,0.031376343220472336,0.5276342034339905,0.16527187824249268,0.30110475420951843,-1.0043902598511067e-08,0.22977770864963531,-0.9732431173324585,4.2541806521967374e-08
